system:index,Name,OBJECTID,altitudeMo,begin,blue,descriptio,drawOrder,end,extrude,green,icon,latitude,longitude,nbr,ndvi,nir,pixel_qa,red,swir1,swir2,tessellate,timestamp,visibility,.geo
1_1_LT05_106061_19900826_00003754d659e070befb_0,15. Logpond,3,,,355,,0,,0,497,,-1.9338000537457258,132.2596196201072,0.75878596,0.72773635,2202,66,347,854,302,-1,,-1,
1_1_LT05_106061_19910712_00003754d659e070befb_0,15. Logpond,3,,,867,,0,,0,979,,-1.9338000537457258,132.2596196201072,0.66467464,0.48562962,2507,66,868,991,505,-1,,-1,
1_1_LT05_106061_19910712_0000986f749581a25612_0,21. Swamp,8,,,959,,0,,0,1221,,-2.010231093443732,132.41228650285314,0.7005192,0.627186,4094,66,938,1988,721,-1,,-1,
1_1_LT05_106061_19940720_0000ccb27c8f5d3ef46d_0,18. Sago Forest,6,,,912,,0,,0,1089,,-1.9522773514017462,132.28545711391885,0.5186608,0.5066703,2767,66,906,1330,877,-1,,-1,
1_1_LT05_106061_19940906_0000fb67a78b70d5fc4f_0,17. Disputed Land cleared 2017,4,,,2272,,0,,0,2656,,-1.9414590160791922,132.3016416740556,0.2565445,0.28096345,4680,66,2627,3268,2769,-1,,-1,
1_1_LT05_106061_19940906_0000ccb27c8f5d3ef46d_0,18. Sago Forest,6,,,679,,0,,0,871,,-1.9522773514017462,132.28545711391885,0.52920103,0.44972825,2134,66,810,1037,657,-1,,-1,
1_1_LT05_106061_19940906_0000d33652d4489c01ad_0,"20. Puragi village, land rights conflict",9,,,369,,0,,0,702,,-1.96773324672283,132.2870489423641,0.5562566,0.7465188,3700,66,537,2349,1055,-1,,-1,
1_1_LT05_106061_19940906_00009419fece5e331603_0,14. Swamp,2,,,304,,0,,0,574,,-1.962265062279016,132.2590346879042,0.7668765,0.80688125,4070,66,435,1402,537,-1,,-1,
1_1_LT05_106061_19940906_0000d98315eff5da7304_0,19. Network of canals,7,,,658,,0,,0,955,,-1.9576647172733035,132.26416171366736,0.6346266,0.66481334,4192,66,844,1680,937,-1,,-1,
1_1_LT05_106061_19940906_0000ebdf8f3756e97b7a_0,"16. Sago 40,000ha concession",5,,,326,,0,,0,532,,-1.9419410766299214,132.26445656962534,0.8076484,0.7928106,3167,66,366,1066,337,-1,,-1,
1_1_LT05_106061_19940906_00003754d659e070befb_0,15. Logpond,3,,,1069,,0,,0,1335,,-1.9338000537457258,132.2596196201072,0.45473683,0.47870746,3455,66,1218,1988,1295,-1,,-1,
1_1_LT05_106061_19940906_00007ddfec1d5b655137_0,"12 Primary Forest, 2012",23,,,243,,0,,0,447,,-1.8596514166178884,132.3467665889175,0.6996385,0.7939646,2586,66,297,1176,457,-1,,-1,
1_1_LT05_106061_19940906_0000c9d17b4ed4e94c1f_0,11. Primary forest cleared in 2015,22,,,389,,0,,0,488,,-1.856418232236063,132.3602441180917,0.6449923,0.70162576,2669,66,468,1400,576,-1,,-1,
1_1_LT05_106061_19940906_0000f548dedadb3073ed_0,"23. Palm Oil Plantation, primary forest cleared in 2015",11,,,303,,0,,0,530,,-1.8883958942278662,132.3502262473484,0.77016574,0.79546094,3204,66,365,1260,416,-1,,-1,
1_1_LT05_106061_19940906_00000cff636f99017122_0,13.Disputed Land cleared in 2017,24,,,2739,,0,,0,3061,,-1.9222411418124734,132.3213422330717,0.26699278,0.23379716,4921,66,3056,3543,2847,-1,,-1,
1_1_LT05_106061_19940906_0000a256e58c14f98604_0,"22. Primary Forest, 2014",10,,,303,,0,,0,530,,-1.9285705587739872,132.38115350838828,0.7415889,0.77062374,3080,66,399,1316,457,-1,,-1,
1_1_LT05_106061_19940906_00006eab9daa22078f4b_0,5.Logpond,16,,,575,,0,,0,869,,-1.8614208172689384,132.44269301523997,0.48871547,0.6019065,3529,66,877,2650,1212,-1,,-1,
1_1_LT05_106061_19940906_00001dea1f19c019a788_0,"3.Land cleared, Apr.2014",14,,,283,,0,,0,488,,-1.8441155810000651,132.4761327285383,0.7790201,0.78253704,2705,66,330,1175,336,-1,,-1,
1_1_LT05_106061_19940906_00002f64e70a109476cd_0,2.Primary Forest,13,,,283,,0,,0,488,,-1.8373459775875856,132.4826097255928,0.7368754,0.7653488,2746,66,365,1202,416,-1,,-1,
1_1_LT05_106061_19940906_0000b270b7e882c886f9_0,"4.Land cleared,Apr2014",15,,,1270,,0,,0,1497,,-1.8311022153793304,132.47749839139112,0.43998456,0.45884654,3731,66,1384,2148,1451,-1,,-1,
1_1_LT05_106061_19940906_0000a69817a0d03f0d28_0,1. Hexagon,12,,,346,,0,,0,572,,-1.8332771579548741,132.4815375077037,0.7329028,0.7263158,2952,66,468,1257,455,-1,,-1,
1_1_LT05_106061_19940906_0000986f749581a25612_0,21. Swamp,8,,,3330,,0,,0,3779,,-2.010231093443732,132.41228650285314,0.33251715,0.19368282,5442,66,3676,3790,2726,-1,,-1,
