system:index,date,path,row,sat,.geo
1_1_LT05_106061_19900826,1990-08-26,106.0,61.0,LANDSAT_5,
1_1_LT05_106061_19910407,1991-04-07,106.0,61.0,LANDSAT_5,
1_1_LT05_106061_19910712,1991-07-12,106.0,61.0,LANDSAT_5,
1_1_LT05_106061_19940720,1994-07-20,106.0,61.0,LANDSAT_5,
1_1_LT05_106061_19940906,1994-09-06,106.0,61.0,LANDSAT_5,
1_1_LT05_106061_19940922,1994-09-22,106.0,61.0,LANDSAT_5,
1_1_LT05_106061_19941125,1994-11-25,106.0,61.0,LANDSAT_5,
1_1_LT05_106061_19950213,1995-02-13,106.0,61.0,LANDSAT_5,
1_1_LT05_106061_19950301,1995-03-01,106.0,61.0,LANDSAT_5,
1_1_LT05_106061_19950520,1995-05-20,106.0,61.0,LANDSAT_5,
1_1_LT05_106061_19950707,1995-07-07,106.0,61.0,LANDSAT_5,
1_1_LT05_106061_19960607,1996-06-07,106.0,61.0,LANDSAT_5,
1_1_LT05_106061_19960623,1996-06-23,106.0,61.0,LANDSAT_5,
1_1_LT05_106061_19960725,1996-07-25,106.0,61.0,LANDSAT_5,
1_1_LT05_106061_19960826,1996-08-26,106.0,61.0,LANDSAT_5,
1_1_LT05_106061_19961216,1996-12-16,106.0,61.0,LANDSAT_5,
1_1_LT05_106061_19970117,1997-01-17,106.0,61.0,LANDSAT_5,
1_1_LT05_106061_19970322,1997-03-22,106.0,61.0,LANDSAT_5,
1_1_LT05_106061_19970407,1997-04-07,106.0,61.0,LANDSAT_5,
1_1_LT05_106061_19970423,1997-04-23,106.0,61.0,LANDSAT_5,
1_1_LT05_106061_19970509,1997-05-09,106.0,61.0,LANDSAT_5,
1_1_LT05_106061_19970525,1997-05-25,106.0,61.0,LANDSAT_5,
1_1_LT05_106061_19970610,1997-06-10,106.0,61.0,LANDSAT_5,
1_1_LT05_106061_19970626,1997-06-26,106.0,61.0,LANDSAT_5,
1_1_LT05_106061_19970728,1997-07-28,106.0,61.0,LANDSAT_5,
1_1_LT05_106061_19970914,1997-09-14,106.0,61.0,LANDSAT_5,
1_1_LT05_106061_19980104,1998-01-04,106.0,61.0,LANDSAT_5,
1_1_LT05_106061_19980426,1998-04-26,106.0,61.0,LANDSAT_5,
1_1_LT05_106061_19980629,1998-06-29,106.0,61.0,LANDSAT_5,
1_1_LT05_106061_19990429,1999-04-29,106.0,61.0,LANDSAT_5,
1_1_LT05_106061_19990718,1999-07-18,106.0,61.0,LANDSAT_5,
1_2_LE07_106061_19990928,1999-09-28,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_19991014,1999-10-14,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_19991030,1999-10-30,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_19991201,1999-12-01,106.0,61.0,LANDSAT_7,
1_1_LT05_106061_19991209,1999-12-09,106.0,61.0,LANDSAT_5,
1_2_LE07_106061_20000102,2000-01-02,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20000203,2000-02-03,106.0,61.0,LANDSAT_7,
1_1_LT05_106061_20000314,2000-03-14,106.0,61.0,LANDSAT_5,
1_2_LE07_106061_20000322,2000-03-22,106.0,61.0,LANDSAT_7,
1_1_LT05_106061_20000330,2000-03-30,106.0,61.0,LANDSAT_5,
1_2_LE07_106061_20000407,2000-04-07,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20000423,2000-04-23,106.0,61.0,LANDSAT_7,
1_1_LT05_106061_20000501,2000-05-01,106.0,61.0,LANDSAT_5,
1_1_LT05_106061_20000602,2000-06-02,106.0,61.0,LANDSAT_5,
1_2_LE07_106061_20000626,2000-06-26,106.0,61.0,LANDSAT_7,
1_1_LT05_106061_20000704,2000-07-04,106.0,61.0,LANDSAT_5,
1_1_LT05_106061_20000720,2000-07-20,106.0,61.0,LANDSAT_5,
1_2_LE07_106061_20000728,2000-07-28,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20000829,2000-08-29,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20000914,2000-09-14,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20000930,2000-09-30,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20001101,2000-11-01,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20001117,2000-11-17,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20001203,2000-12-03,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20001219,2000-12-19,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20010120,2001-01-20,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20010221,2001-02-21,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20010309,2001-03-09,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20010410,2001-04-10,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20010512,2001-05-12,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20010528,2001-05-28,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20010613,2001-06-13,106.0,61.0,LANDSAT_7,
